"Source:","/home/martin/Escritorio/KiCadProject/tecsci_dipcoater_github/tecsci_dip/tecsci_dip/tecsci_dip.sch"
"Date:","vie 24 ene 2020 11:53:21 -03"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","digikey#","manf","manf#"
"","","C201","150uF/63V","Device:CP","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","~","P15406-ND","Panasonic Electronic Components","EEU-FR1J151"
"","","C202","100nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C203","470nF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C204","100nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C205","4.7uF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","https://api.kemet.com/component-edge/download/datasheet/C0805C475K4RACAUTO.pdf","399-15711-2-ND ","KEMET","C0805C475K4RACAUTO"
"","","C206","100nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C207","22nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C208","100nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C209","4.7uF/100V","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","",""
"","","C210","150uF/63V","Device:CP","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","~","P15406-ND","Panasonic Electronic Components","EEU-FR1J151"
"","","C211","0.1uF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C212","0.1uF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C301","2.2uF/100V","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","",""
"","","C302","100nF/100V","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","",""
"","","C303","22nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C304","1uF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C305","10nF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C306","10uF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C307","10uF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C308","10nF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C310","100nF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C311","10uF/10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","D201","SMBJ43A","TMC5130-Eval_v15-eagle-import:SMBJ","TMC5130-Eval_v15:SMB","https://www.taiwansemi.com/products/datasheet/SMBJ%20SERIES_P1812.pdf","SMBJ43AFSTR-ND","Taiwan Semiconductor Corporation","SMBJ43A"
"","","D202","PMEG3020CEH","tecsci_dip-cache:PMEG6010CEH","Diode_SMD:D_SOD-123","","1727-3873-2-ND","Nexperia USA Inc.","PMEG3020EH,115"
"","","D301","PMEG3020CEH","Diode:PMEG6010CEH","Diode_SMD:D_SOD-123","https://assets.nexperia.com/documents/data-sheet/PMEG6010CEH_PMEG6010CEJ.pdf","1727-3873-2-ND","Nexperia USA Inc.","PMEG3020EH,115"
"","","FID101","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","",""
"","","FID102","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","",""
"","","FID103","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","",""
"","","H101","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
"","","H102","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
"","","H103","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
"","","H104","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
"","","IC201","TMC5130","TMC5130-Eval_v15-eagle-import:TMC5130","TMC5130-Eval_v15:QFP50P900X900X113-49N_NOFID","https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc5130%2F_datasheet%2FTMC5130_datasheet.pdf","1460-1124-ND ","Trinamic Motion Control GmbH","TMC5130A-TA"
"","","J201","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","WM1399CT-ND","",""
"","","J202","Boot","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","J203","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","",""
"","","J204","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"","","L301","SRU8043","Ponchobrücke-cache:Device_L_Core_Ferrite","Inductor_SMD:L_Bourns-SRU8043","https://www.bourns.com/docs/Product-Datasheets/SRU8043.pdf","SRU8043-100YTR-ND","Bourns Inc.","SRU8043-100Y"
"","","OSHWA101","Logo_Open_Hardware_Small","Graphic:Logo_Open_Hardware_Small","Symbol:OSHW-Symbol_8.9x8mm_SilkScreen","~","","",""
"","","POWER_IN301","POL_HEADER","TMC5130-Eval_v15-eagle-import:AKL_349_02_POL_HEADER","TMC5130-Eval_v15:AKL349_02_POL","","277-1106-ND","",""
"","","Q201","S8050","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf","MMSS8050-H-TPMSCT-ND","",""
"","","Q202","S8050","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf","MMSS8050-H-TPMSCT-ND","",""
"","","R201","2R2/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R202","0R15/1%","Device:R","Resistor_SMD:R_1206_3216Metric","~","","",""
"","","R203","0R/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R204","0R15/1%","Device:R","Resistor_SMD:R_1206_3216Metric","~","","",""
"","","R205","10K/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R206","10K/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R207","4.7K/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R208","1K/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R209","1K/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
